,Avg. SPAM error,Avg. SPAM error uncertainty,0 SPAM error,1 SPAM error
G1-left,1.50e-03,2.74e-04,8.00e-04,2.20e-03
G1-right,1.80e-03,3.00e-04,8.00e-04,2.80e-03
G2-left,1.30e-03,2.55e-04,3.00e-04,2.30e-03
G2-right,1.50e-03,2.74e-04,4.00e-04,2.60e-03
G3-left,1.25e-03,2.50e-04,1.00e-03,1.50e-03
G3-right,1.80e-03,2.99e-04,1.00e-04,3.50e-03
G4-left,1.40e-03,2.64e-04,3.00e-04,2.50e-03
G4-right,1.40e-03,2.64e-04,3.00e-04,2.50e-03
Mean,1.49e-03,9.65e-05,5.00e-04,2.49e-03
